PID,task_no,bug,condition,correct,buggy_min,other_min,total_fix_min,buggy_propfix,other_propfix,source_propfix
P2,1,math50,control,N,0.0,4.219010083007812,14.084657645670573,0.0,0.29954651288983775,0.29954651288983775
P2,2,chart12,overfitting,N,0.27541578369140624,8.975234106445313,14.096043920898438,0.019538516284209485,0.6367200724409533,0.6562585887251627
P2,3,lang10,correct,N,4.37067314453125,1.229438692220052,10.374395442708334,0.4212942497389751,0.11850702038586408,0.5398012701248392
P3,1,chart12,overfitting,Y,0.8186048299153645,4.622748124186198,11.325895617675782,0.07227727126831429,0.4081574014307263,0.4804346726990406
P3,2,math50,control,N,4.863863525390625,4.316504744466146,13.551317317708333,0.358921823713383,0.31853026855370775,0.6774520922670908
P3,3,math63,correct,Y,6.07718994140625,0.8108299194335937,9.15953633219401,0.6634822682067535,0.08852303108222655,0.7520052992889801
P4,1,math63,overfitting,Y,5.126224690755208,1.2479101236979167,9.538006099446614,0.5374524441804065,0.1308355342496918,0.6682879784300984
P4,2,chart12,correct,Y,1.1426336181640624,1.30749365234375,7.433299088541666,0.15371823527529213,0.1758968173847914,0.32961505266008356
P4,3,lang10,control,N,0.19458238932291666,6.981496061197917,17.2499201171875,0.011280190748769809,0.40472628358676765,0.4160064743355375
P5,1,math63,control,N,1.3677709147135417,0.67346884765625,4.919836812337239,0.27801143958345287,0.1368884524721276,0.4148998920555805
P5,2,lang10,overfitting,N,0.24861041666666667,0.08722153727213541,3.1212333984375,0.07965133808677105,0.027944573871277557,0.10759591195804859
P5,3,math33,correct,Y,0.03277760009765625,0.4724972615559896,3.2545668334960935,0.010071263481305182,0.14517976914563083,0.15525103262693601
P6,1,chart12,correct,Y,2.1766530395507813,2.62317900390625,6.207740226236979,0.3506353294796663,0.4225658465570771,0.7732011760367433
P6,2,lang10,control,N,0.006249983723958333,5.2567763387044275,15.632829638671875,0.0003997986204939745,0.33626518424408736,0.33666498286458135
P6,3,math63,overfitting,Y,2.043601123046875,0.36360960693359373,3.889286096191406,0.5254437633292334,0.09349006422789503,0.6189338275571284
P7,1,math50,control,N,4.325533231608073,0.8981919637044271,7.044825870768229,0.6140014403416871,0.1274966876656783,0.7414981280073655
P7,2,math33,correct,N,1.9008240966796874,1.5530466430664063,6.0009414591471355,0.31675431423885875,0.2588004988282502,0.575554813067109
P8,1,lang10,correct,Y,1.0151341471354167,4.937750577799479,14.05630753173828,0.07221911905692914,0.35128361887717247,0.4235027379341016
P8,2,math50,overfitting,N,0.004999930826822917,4.81580937093099,15.174224340820313,0.00032950157546916977,0.31736774564324444,0.31769724721871356
P8,3,math63,control,Y,11.091886112467447,1.5842954386393229,16.93323874104818,0.6550363035737162,0.09356127689848268,0.7485975804721989
P9,1,math33,control,N,0.0,6.567602616373698,17.269201155598957,0.0,0.38030726246097224,0.38030726246097224
P9,2,math50,overfitting,N,3.2431766276041665,5.464693082682292,13.537840148925781,0.23956381460609213,0.4036606299503331,0.6432244445564251
P9,3,chart12,correct,Y,0.9680483561197917,0.5369408854166666,3.360531620279948,0.28806405221062875,0.15977855473115202,0.44784260694178074
P10,1,math50,overfitting,N,6.760661673990885,1.8110999552408855,14.908810990397136,0.4534675285873214,0.12147849727301709,0.5749460258603385
P11,1,chart12,overfitting,Y,0.5180519083658854,1.1855477701822916,3.430531075032552,0.15101216022681552,0.3455872412323337,0.4965994014591492
P11,2,math33,correct,Y,2.5584577596028644,5.365664493815104,14.364364497884115,0.1781114479502193,0.37353998463388144,0.5516514325841007
P11,3,math50,control,N,5.712332763671875,3.4649808064778647,13.873122444661458,0.41175537709393234,0.2497621440522375,0.6615175211461698
P12,1,math63,correct,N,1.4083254272460937,0.9079129475911458,6.985101220703125,0.20161847090661494,0.12997849550127988,0.3315969664078949
P12,2,chart12,control,Y,0.65235888671875,2.2249905721028647,5.980387736002604,0.10908304202275655,0.37204787888721197,0.4811309209099685
P12,3,lang10,overfitting,N,0.21166557210286457,1.6883250406901043,8.563567842610677,0.024716984321611506,0.19715205994974683,0.22186904427135834
P13,1,chart12,control,Y,0.7584659790039062,3.7403953369140623,9.386052888997396,0.08080776743683195,0.3985056744458219,0.4793134418826539
P13,2,math50,correct,Y,0.9806882202148437,0.36763738606770835,5.048995780436198,0.1942343117050732,0.07281396183617865,0.2670482735412518
P13,3,lang10,overfitting,N,0.6058296427408855,2.2216530314127603,10.049519767252605,0.060284437144453785,0.22107056683964596,0.28135500398409974
P14,1,chart12,correct,Y,0.7506884358723959,0.26874754638671877,1.694014864095052,0.44314158735166465,0.1586453295557619,0.6017869169074266
P14,2,math63,overfitting,N,2.787762137858073,0.23777655029296876,5.638578719075521,0.49440865805898393,0.04216958956138395,0.5365782476203679
P14,3,math33,control,N,0.4220813028971354,4.994697233072917,15.972836340332032,0.026424943817358458,0.3126994559169878,0.33912439973434627
P15,1,chart12,overfitting,N,2.384152136230469,5.043719002278646,9.83382871500651,0.242443935655726,0.5128947379957804,0.7553386736515064
P15,2,math50,control,N,0.9387440470377604,3.9871995483398437,9.485637080891927,0.09896478634300555,0.42034072296227154,0.5193055093052772
P15,3,math33,correct,N,1.4355480102539062,4.3774743693033855,13.340200077311199,0.10761068064454772,0.3281415828798943,0.435752263524442
P16,1,math63,overfitting,Y,1.8483209920247397,0.5949955851236979,3.4199762288411457,0.5404484909683248,0.173976526534312,0.7144250175026369
P16,2,chart12,correct,Y,1.5838793579101562,2.6053994262695315,5.645379915364583,0.2805620492607481,0.4615100250699908,0.742072074330739
P16,3,math50,control,N,1.0383291381835937,1.2705473999023438,14.819631762695312,0.07006443579774536,0.08573407357533853,0.15579850937308387
P17,1,math33,correct,Y,2.6623424072265625,1.2236037353515625,9.5604919921875,0.2784733682536564,0.12798543593273745,0.40645880418639385
P17,2,lang10,overfitting,N,1.2480472249348957,1.3031874552408853,11.595486844889322,0.1076321539259017,0.11238747218408182,0.22001962610998352
P17,3,math63,control,N,1.3773536499023438,0.31319247233072917,2.5256787434895833,0.5453400015551203,0.12400328946745197,0.6693432910225723
P18,1,math33,correct,Y,0.2812486409505208,1.4731861938476563,6.354270581054688,0.04426135736005106,0.23184190459877071,0.2761032619588218
P18,2,chart12,control,Y,3.5073436971028644,4.490115804036458,11.528551595052082,0.3042310795233093,0.3894778773392108,0.6937089568625202
P18,3,lang10,overfitting,N,0.5027749796549479,0.35555313313802084,3.8576159016927085,0.1303330845961963,0.0921691381928422,0.2225022227890385
P19,1,math63,control,N,1.3984637369791666,1.419854471842448,5.499415047200521,0.25429317936114954,0.258182817564429,0.5124759969255785
P19,2,math50,correct,Y,0.31235858968098956,0.06888885091145833,1.0473544596354167,0.2982357947754587,0.06577415150878192,0.3640099462842406
P19,3,math33,overfitting,N,1.1649934895833334,1.6949911539713542,4.816086429850261,0.24189630035762352,0.3519436743214872,0.5938399746791108
P20,1,math33,control,N,0.00541663818359375,4.904843078613281,12.694390563964843,0.0004266954097796381,0.3863787752471159,0.3868054706568955
P20,2,chart12,overfitting,N,0.08458330078125,4.536788928222657,10.745511796061198,0.007871500435396132,0.4222031499593748,0.4300746503947709
P20,3,math63,correct,N,5.051368119303385,0.20722122802734375,10.513567130533854,0.4804618695621425,0.019709887753084764,0.5001717573152272
P21,1,chart12,overfitting,Y,0.8163841023763021,3.594285673014323,6.576629642740885,0.12413411530287492,0.5465239595757994,0.6706580748786742
P21,2,math50,control,N,2.8104025716145835,1.3216599731445313,7.226214192708333,0.38891769558262496,0.1828979792044031,0.571815674787028
P21,3,lang10,correct,Y,0.09222174479166667,0.04805524495442708,2.49012450764974,0.03703499343440804,0.01929833018662315,0.056333323621031196
P22,1,math50,overfitting,N,1.0019397013346354,2.0156819580078125,6.735659138997396,0.14875154467566692,0.29925533884837396,0.4480068835240409
P22,2,math63,correct,Y,0.7043019653320313,0.06083302001953125,1.843601896158854,0.38202497339552804,0.03299683090274364,0.4150218042982717
P22,3,chart12,control,N,3.063457368977865,3.7985949503580727,11.82772226969401,0.2590065355886242,0.32116030996865336,0.5801668455572776
P23,1,math50,correct,Y,1.2966596761067708,1.3808238159179687,6.925376354980469,0.1872330989166043,0.19938610483240124,0.3866192037490056
P23,2,lang10,overfitting,N,1.393603731282552,2.4770713338216144,14.36340165201823,0.0970246300316147,0.17245715143484527,0.26948178146645996
P23,3,chart12,control,N,0.7274955688476562,6.140521602376302,15.091450236002604,0.04820580908202722,0.40688744331060345,0.45509325239263065
P24,1,lang10,correct,Y,2.473042541503906,1.9658231201171874,10.198698661295573,0.24248608804270208,0.19275234864792667,0.4352384366906288
P24,2,chart12,control,Y,1.1086047932942709,1.6309632446289062,4.485251485188802,0.24716669666240695,0.36362804850846675,0.6107947451708736
P24,3,math33,overfitting,Y,2.6501257364908852,1.0229132405598957,6.448580643717448,0.41096264168965296,0.15862610659238208,0.569588748282035
P25,1,lang10,control,N,0.0,9.351347009277344,17.07866925455729,0.0,0.5475454129297586,0.5475454129297586
P25,2,math50,control,N,5.5780333984375,4.049010970052083,15.34090750732422,0.3636051775799037,0.26393555714477523,0.627540734724679
P25,3,math33,overfitting,N,0.5858309244791666,0.08680526936848958,3.878313781738281,0.15105299814513565,0.022382219246216584,0.17343521739135223
P26,1,math63,control,N,0.0,1.0001345825195314,5.890254248046875,0.0,0.16979480687971352,0.16979480687971352
P26,2,math33,overfitting,N,2.7163776774088544,0.8527736124674479,6.902747542317709,0.39352122625895525,0.1235411851932101,0.5170624114521654
P26,3,chart12,correct,Y,0.40138738606770835,2.06901953125,4.543452152506511,0.08834414286640453,0.4553849059703584,0.5437290488367629
P27,1,chart12,overfitting,N,1.0747188191731771,2.0477685424804686,4.57664629720052,0.23482671576140146,0.4474386722288467,0.6822653879902482
P27,2,math33,control,N,0.0,2.9735987548828127,8.968293489583333,0.0,0.33156795753134594,0.33156795753134594
P27,3,lang10,correct,Y,0.1934710489908854,1.6252708699544272,8.611078698730468,0.022467690258063586,0.1887418437128023,0.2112095339708659
P28,1,lang10,overfitting,N,0.4561079508463542,0.20152681477864584,4.469831750488281,0.10204141370567903,0.045085995632079705,0.14712740933775872
P28,2,chart12,correct,Y,0.7022181111653646,0.6618013142903646,3.425116837565104,0.20502019185557693,0.1932200697599663,0.39824026161554327
P29,1,math50,correct,Y,5.939691634114583,0.13944395345052082,14.93227861328125,0.39777530194431476,0.009338424299590477,0.40711372624390524
P29,2,math33,overfitting,N,6.474968957519531,1.6047144002278646,13.813680163574219,0.46873598352114776,0.11616849248177852,0.5849044760029263
P29,3,math63,control,N,6.154687479654948,0.7258296590169271,13.20506484375,0.4660853659168498,0.05496600490837155,0.5210513708252213
