PID,task_no,condition,bug,correct,has_gaze,n_test_run,n_debugger,n_source_edit,n_test_edit,n_navigation,n_undo,n_apply_patch,t0,duration_ide_min,t_first_run,t_first_source_edit,t_last_source_edit,t_first_run_after_edit,ran,edited_source,reproduce_first,validated_after_edit,full_order_ok
P1,1,control,math33,N,True,5,51,36,293,50,11,0,1764079546137,25.12425,1764079546137.0,1764079947169.0,1764081032205.0,1764080847244.0,True,True,True,True,True
P1,2,correct,math50,N,False,13,174,13,51,23,4,1,1764081602485,17.975866666666665,1764081602485.0,1764081809821.0,1764082668925.0,1764082370270.0,True,True,True,True,True
P1,3,overfitting,math63,N,False,2,0,1,0,2,0,0,1764083324605,1.6305666666666667,1764083324605.0,1764083395198.0,1764083395198.0,1764083398413.0,True,True,True,True,True
P2,1,control,math50,N,True,2,0,4,0,6,0,0,1764796529824,25.364449999999998,1764796563720.0,1764796693241.0,1764796713118.0,1764796922514.0,True,True,True,True,True
P2,2,overfitting,chart12,N,True,2,9,198,0,18,8,1,1764798733114,25.23985,1764798733114.0,1764798986582.0,1764800219589.0,1764800000166.0,True,True,True,True,True
P2,3,correct,lang10,N,True,0,3,64,15,8,0,1,1764801031846,20.067183333333332,,1764801428343.0,1764801786089.0,,False,True,False,False,False
P3,1,overfitting,chart12,Y,True,4,0,27,0,14,1,1,1764864230398,23.399,1764864230398.0,1764864389074.0,1764865120445.0,1764864823958.0,True,True,True,True,True
P3,2,control,math50,N,True,1,44,67,26,29,0,0,1764866137936,24.660316666666667,1764866137936.0,1764866536269.0,1764867378959.0,,True,True,True,False,False
P3,3,correct,math63,Y,True,3,0,46,4,20,4,1,1764868131570,18.507749999999998,1764868131570.0,1764868438458.0,1764869187954.0,1764868466992.0,True,True,True,True,True
P4,1,overfitting,math63,Y,True,5,0,19,0,9,1,0,1765565547643,15.41815,1765565547643.0,1765565816408.0,1765566087971.0,1765566028971.0,True,True,True,True,True
P4,2,correct,chart12,Y,True,4,0,9,0,8,2,0,1765567144214,13.01135,1765567144214.0,1765567257900.0,1765567794966.0,1765567269886.0,True,True,True,True,True
P4,3,control,lang10,N,True,2,35,2,0,17,0,0,1765568955047,25.162766666666666,1765568955047.0,1765569802840.0,1765569802999.0,1765569976671.0,True,True,True,True,True
P5,1,control,math63,N,True,13,22,130,2,3,2,0,1765575101628,18.144566666666666,1765575101628.0,1765575753132.0,1765576030235.0,1765576050364.0,True,True,True,True,True
P5,2,overfitting,lang10,N,True,5,2,41,1,3,0,0,1765576692533,14.751,1765576692533.0,1765577470557.0,1765577501979.0,1765577542765.0,True,True,True,True,True
P5,3,correct,math33,Y,True,2,0,6,0,1,0,0,1765578716724,11.643766666666666,1765578720981.0,1765579301854.0,1765579308077.0,1765579314406.0,True,True,True,True,True
P6,1,correct,chart12,Y,True,2,0,213,1,27,2,0,1765635204798,14.51585,1765635204798.0,1765635375295.0,1765636028863.0,1765635757685.0,True,True,True,True,True
P6,2,control,lang10,N,True,1,26,8,0,24,5,0,1765636682751,25.128800000000002,1765636682751.0,1765637533751.0,1765637669110.0,,True,True,True,False,False
P6,3,overfitting,math63,Y,True,0,3,99,2,6,0,0,1765639607646,8.713533333333334,,1765639799128.0,1765640080055.0,,False,True,False,False,False
P7,1,control,math50,N,True,12,125,416,34,21,0,0,1765643155913,25.20423333333333,1765643155913.0,1765643575610.0,1765644606410.0,1765643677257.0,True,True,True,True,True
P7,2,correct,math33,N,True,6,67,432,317,20,1,0,1765645045872,25.273266666666665,1765645045872.0,1765645053595.0,1765646534108.0,1765645334156.0,True,True,True,True,True
P7,3,overfitting,chart12,Y,False,4,8,20,20,8,0,0,1765646975940,4.42895,1765646975940.0,1765647066716.0,1765647209181.0,1765647163341.0,True,True,True,True,True
P8,1,correct,lang10,Y,True,3,69,2,24,26,0,0,1765740403769,24.661366666666666,1765740403769.0,1765740685440.0,1765741832162.0,1765741845740.0,True,True,True,True,True
P8,2,overfitting,math50,N,True,2,13,50,60,24,1,0,1765742595013,25.268933333333333,1765742595013.0,1765743654595.0,1765744092882.0,1765743959314.0,True,True,True,True,True
P8,3,control,math63,Y,True,4,9,126,0,33,0,0,1765745159708,25.239483333333332,1765745159708.0,1765745485909.0,1765745986436.0,1765746077445.0,True,True,True,True,True
P9,1,control,math33,N,True,4,0,0,133,19,0,0,1765982011548,25.15426666666667,1765982011548.0,,,,True,False,False,False,False
P9,2,overfitting,math50,N,True,13,0,130,5,16,15,0,1765984179572,20.666666666666668,1765984179572.0,1765984647062.0,1765985396917.0,1765984652887.0,True,True,True,True,True
P9,3,correct,chart12,Y,True,5,0,11,0,2,3,0,1765986904159,5.6490833333333335,1765986904159.0,1765987112711.0,1765987211622.0,1765987150808.0,True,True,True,True,True
P10,1,overfitting,math50,N,True,3,2,13,0,3,17,0,1766006915325,25.126199999999997,1766006915325.0,1766007783496.0,1766007957716.0,1766007952004.0,True,True,True,True,True
P10,2,control,lang10,N,False,16,226,4,1,15,0,0,1766008949189,25.1603,1766008949189.0,1766009177590.0,1766009180069.0,1766009290910.0,True,True,True,True,True
P10,3,correct,chart12,Y,False,1,1,16,0,2,0,1,1766010965776,3.1686,1766011087226.0,1766011038186.0,1766011057145.0,1766011087226.0,True,True,False,True,False
P11,1,overfitting,chart12,Y,True,3,0,11,0,10,0,0,1766084221157,5.705583333333333,1766084221157.0,1766084362392.0,1766084467093.0,1766084474343.0,True,True,True,True,True
P11,2,correct,math33,Y,True,5,0,15,103,25,2,0,1766085000493,22.1271,1766085000493.0,1766085991414.0,1766086312230.0,1766086059257.0,True,True,True,True,True
P11,3,control,math50,N,True,9,1,3,93,33,14,0,1766087601950,25.199450000000002,1766087601950.0,1766088138968.0,1766088983416.0,1766088175049.0,True,True,True,True,True
P12,1,correct,math63,N,True,10,0,141,36,4,8,0,1768339095850,21.698866666666667,1768339095850.0,1768339241581.0,1768340363003.0,1768339560674.0,True,True,True,True,True
P12,2,control,chart12,Y,True,8,0,197,308,15,5,0,1768340976443,12.4901,1768340976443.0,1768341046235.0,1768341668733.0,1768341141923.0,True,True,True,True,True
P12,3,overfitting,lang10,N,True,19,3,5,608,20,27,2,1768342163077,25.167516666666664,1768342163077.0,1768342930536.0,1768343652607.0,1768343116504.0,True,True,True,True,True
P13,1,control,chart12,Y,True,5,5,86,0,22,0,0,1768594564183,25.044616666666666,1768594565567.0,1768594798083.0,1768595687886.0,1768595642271.0,True,True,True,True,True
P13,2,correct,math50,Y,True,3,0,2,1,6,0,1,1768596767848,10.229966666666666,1768596767848.0,1768596979306.0,1768597319904.0,1768596998258.0,True,True,True,True,True
P13,3,overfitting,lang10,N,True,2,5,2,0,15,0,1,1768598581033,25.208983333333332,1768598581033.0,1768599309662.0,1768599826294.0,1768599862625.0,True,True,True,True,True
P14,1,correct,chart12,Y,True,3,0,41,0,4,2,0,1768676480120,3.51775,1768676481863.0,1768676581563.0,1768676645200.0,1768676603399.0,True,True,True,True,True
P14,2,overfitting,math63,N,True,6,12,196,67,11,0,0,1768677096311,9.865783333333333,1768677097330.0,1768677148177.0,1768677640144.0,1768677158888.0,True,True,True,True,True
P14,3,control,math33,N,True,1,94,2,4,32,3,0,1768678163120,25.072633333333332,1768678163120.0,1768678947616.0,1768679321249.0,,True,True,True,False,False
P15,1,overfitting,chart12,N,True,4,0,101,0,70,2,0,1768754160776,25.273500000000002,1768754160776.0,1768754347416.0,1768755546068.0,1768755247100.0,True,True,True,True,True
P15,2,control,math50,N,True,7,170,8,9,60,0,0,1768756185693,25.169233333333334,1768756185693.0,1768756294804.0,1768757691923.0,1768756419375.0,True,True,True,True,True
P15,3,correct,math33,N,True,5,24,204,1,42,7,1,1768758444896,25.222616666666667,1768758444896.0,1768758762457.0,1768759938439.0,1768759689137.0,True,True,True,True,True
P16,1,overfitting,math63,Y,True,3,0,20,0,4,0,0,1768840771948,5.1971333333333325,1768840771948.0,1768840937733.0,1768841014174.0,1768840939326.0,True,True,True,True,True
P16,2,correct,chart12,Y,True,3,0,17,0,19,0,1,1768841609070,11.574866666666667,1768841609070.0,1768842012673.0,1768842269792.0,1768842237934.0,True,True,True,True,True
P16,3,control,math50,N,True,11,0,9,84,26,23,0,1768842986047,25.173066666666667,1768842986047.0,1768843792560.0,1768844488239.0,1768843960855.0,True,True,True,True,True
P17,1,correct,math33,Y,True,4,0,22,56,4,25,0,1769279618808,25.211000000000002,1769279618808.0,1769279935096.0,1769280979951.0,1769279944088.0,True,True,True,True,True
P17,2,overfitting,lang10,N,True,8,0,63,222,16,17,0,1769281650096,25.131700000000002,1769281650096.0,1769282044065.0,1769282267616.0,1769282168873.0,True,True,True,True,True
P17,3,control,math63,N,True,2,0,77,0,2,0,0,1769283661658,5.089250000000001,1769283661658.0,1769283765011.0,1769283939904.0,1769283944897.0,True,True,True,True,True
P18,1,correct,math33,Y,True,32,0,10,5,3,0,1,1769612033797,14.389683333333332,1769612071533.0,1769612639168.0,1769612871598.0,1769612711361.0,True,True,True,True,True
P18,2,control,chart12,Y,True,9,112,352,1,24,0,0,1769614922579,22.762083333333333,1769614922579.0,1769615355047.0,1769616256965.0,1769615558812.0,True,True,True,True,True
P18,3,overfitting,lang10,N,True,4,33,25,23,16,3,0,1769616634263,6.991016666666667,1769616634263.0,1769616750454.0,1769616976198.0,1769616953529.0,True,True,True,True,True
P19,1,control,math63,N,True,17,0,228,0,2,1,0,1769697331175,24.910016666666667,1769697331175.0,1769697437525.0,1769698715254.0,1769697452023.0,True,True,True,True,True
P19,2,correct,math50,Y,True,3,0,14,1,7,2,0,1769699137315,8.66155,1769699137315.0,1769699383192.0,1769699636104.0,1769699395961.0,True,True,True,True,True
P19,3,overfitting,math33,N,True,7,1,155,0,10,6,1,1769699953138,25.031716666666668,1769699953138.0,1769700127323.0,1769701319499.0,1769700164459.0,True,True,True,True,True
P20,1,control,math33,N,True,7,20,44,152,14,1,0,1769706388113,25.08025,1769706388113.0,1769707244022.0,1769707779814.0,1769707308068.0,True,True,True,True,True
P20,2,overfitting,chart12,N,True,9,32,173,82,18,1,0,1769708377446,25.1851,1769708377446.0,1769708764536.0,1769709743866.0,1769708967103.0,True,True,True,True,True
P20,3,correct,math63,N,True,24,60,139,3,6,1,0,1769710904412,21.661583333333333,1769710904412.0,1769711548353.0,1769712181023.0,1769711579598.0,True,True,True,True,True
P21,1,overfitting,chart12,Y,True,8,0,91,11,30,16,0,1769799888047,17.08525,1769799888047.0,1769800037125.0,1769800795695.0,1769800247566.0,True,True,True,True,True
P21,2,control,math50,N,True,15,2,11,10,24,7,0,1769801470608,25.212750000000003,1769801472786.0,1769802862772.0,1769802933747.0,1769802865028.0,True,True,True,True,True
P21,3,correct,lang10,Y,True,9,0,1,6,8,4,1,1769804070750,8.360800000000001,1769804070750.0,1769804392680.0,1769804392680.0,1769804401231.0,True,True,True,True,True
P22,1,overfitting,math50,N,True,2,0,2,0,1,2,0,1769807781475,17.808366666666664,1769807898131.0,1769808718814.0,1769808726861.0,1769808728183.0,True,True,True,True,True
P22,2,correct,math63,Y,True,2,0,8,0,1,0,0,1769809281309,5.099783333333334,1769809281309.0,1769809397391.0,1769809557534.0,1769809559934.0,True,True,True,True,True
P22,3,control,chart12,N,True,4,0,198,0,0,0,0,1769809924487,25.130316666666666,1769809924487.0,1769810412371.0,1769811412227.0,1769810831890.0,True,True,True,True,True
P23,1,correct,math50,Y,True,6,0,3,24,10,0,0,1769877604969,14.056966666666666,1769878009842.0,1769877681901.0,1769878333644.0,1769878009842.0,True,True,False,True,False
P23,2,overfitting,lang10,N,True,8,3,13,63,17,8,0,1769878979749,23.175416666666667,1769878979749.0,1769879215580.0,1769879547516.0,1769879576229.0,True,True,True,True,True
P23,3,control,chart12,N,True,9,29,132,0,12,2,0,1769881494832,25.208183333333334,1769881494832.0,1769882230851.0,1769882521426.0,1769882255915.0,True,True,True,True,True
P24,1,correct,lang10,Y,True,2,0,65,2,9,15,0,1769885904913,24.68545,1769885904913.0,1769886631308.0,1769887379275.0,1769887272034.0,True,True,True,True,True
P24,2,control,chart12,Y,True,4,0,41,0,5,15,0,1769887842858,7.301066666666667,1769887842858.0,1769888051196.0,1769888248990.0,1769888090123.0,True,True,True,True,True
